Word,Valence,ValenceCategory,Arousal,ArousalCategory,CategoryIndex
aardvark,0.31499999999999995,M,-0.6475,L,3
abalone,0.07499999999999996,M,-0.5875,L,3
abandon,-0.54,L,-0.3175,L,0
abandonment,-0.5925,L,-0.012499999999999956,M,1
abbey,0.2124999999999999,M,-0.7,L,3
abdomen,0.10749999999999993,M,-0.32999999999999996,L,3
abdominal,-0.1299999999999999,L,-0.375,L,0
abduct,-0.645,L,0.2250000000000001,M,1
abduction,-0.7375,L,0.08250000000000002,M,1
abide,0.1299999999999999,M,-0.43500000000000005,L,3
abiding,0.14250000000000007,M,-0.35250000000000004,L,3
ability,0.5,M,-0.03750000000000009,M,4
abject,-0.25,L,-0.265,L,0
ablaze,0.03750000000000009,M,0.4375,H,5
able,0.4099999999999999,M,-0.405,L,3
abnormal,-0.36750000000000005,L,-0.1299999999999999,M,1
abnormality,-0.48750000000000004,L,0.0,M,1
abode,0.07000000000000006,M,-0.525,L,3
abolish,-0.29000000000000004,L,-0.20500000000000007,L,0
abominable,-0.23750000000000004,L,0.11250000000000004,M,1
abomination,-0.625,L,0.2250000000000001,M,1
abort,-0.475,L,0.19999999999999996,M,1
abortion,-0.605,L,0.10749999999999993,M,1
abracadabra,0.02750000000000008,M,0.0674999999999999,M,4
abrasive,-0.18500000000000005,L,0.2749999999999999,M,1
abreast,-0.09499999999999997,L,-0.09749999999999992,M,1
abrupt,-0.43000000000000005,L,0.05750000000000011,M,1
abscess,-0.5525,L,-0.25,L,0
absence,-0.28500000000000003,L,-0.17500000000000004,L,0
absent,-0.2250000000000001,L,-0.31999999999999995,L,0
absinthe,-0.36750000000000005,L,-0.32499999999999996,L,0
absolute,0.10749999999999993,M,-0.38,L,3
absolution,0.395,M,-0.405,L,3
absolve,-0.10499999999999998,L,-0.36750000000000005,L,0
absorb,0.125,M,-0.1825000000000001,L,3
abstain,-0.1499999999999999,L,-0.475,L,0
abstinence,-0.39249999999999996,L,-0.4625,L,0
abstract,0.0625,M,-0.26,L,3
absurd,-0.13749999999999996,L,-0.2450000000000001,L,0
absurdity,-0.2350000000000001,L,-0.07499999999999996,M,1
abundance,0.4175,M,-0.07000000000000006,M,4
abundant,0.6375,H,-0.1975,L,6
abuse,-0.8674999999999999,L,0.3025,M,1
abusive,-0.7375,L,0.0674999999999999,M,1
abysmal,-0.38749999999999996,L,-0.27249999999999996,L,0
abyss,-0.275,L,-0.03750000000000009,M,1
academic,0.4025000000000001,M,-0.42000000000000004,L,3
academy,0.08000000000000007,M,-0.3075,L,3
accelerant,-0.10250000000000004,L,-0.0475000000000001,M,1
accelerate,0.2749999999999999,M,0.26,M,4
accelerated,0.3025,M,-0.0625,M,4
acceleration,0.2975000000000001,M,0.4325000000000001,H,5
accelerator,0.15749999999999997,M,0.0,M,4
accent,0.3700000000000001,M,-0.012499999999999956,M,4
accept,0.3474999999999999,M,-0.55,L,3
acceptable,0.39749999999999996,M,-0.3375,L,3
