ID,song,measure,ending,empty,key.local.major,key.global.major,tonic.local,tonic.global,chord.maj,chord.min,chord.aug,chord.dim,chord.sus4,chord.dom7,chord.min7,roman.numeral,roman.numeral.label,prev.roman.numeral,prev.roman.numeral.label,note.density,note.pitch.mean,note.velocity,rhythm.density,tempo,valence,arousal,valence.category,arousal.category,prev.valence,prev.arousal,prev.valence.category,prev.arousal.category,predicted.valence,predicted.arousal,predicted.valence.category,predicted.arousal.category
0,Age_of_Empires_II_Main_Theme.mid,0,0,0,1,1,A,D,6,0,0,0,0,0,0,56,Vsus4,0,no_chord,4.3125,59.53623188405797,81.125,6,466112.3125,-0.30000000000000004,0.72,L,H,-0.30000000000000004,0.72,L,H,0.22895095741023547,0.2306286136875001,M,H
1,Age_of_Empires_II_Main_Theme.mid,1,0,0,0,1,D,D,0,15,0,0,1,0,0,13,i,56,Vsus4,5.1875,57.83132530120483,97.625,7,462717.6875,-0.29500000000000004,0.74,L,H,-0.30000000000000004,0.72,L,H,0.27996387265489464,0.2267952963125,M,H
2,Age_of_Empires_II_Main_Theme.mid,2,0,0,1,1,D,D,0,0,0,0,6,0,10,56,Vsus4,13,i,5.25,56.65476190476191,94.25,6,464349.9375,-0.28500000000000003,0.74,L,H,-0.29500000000000004,0.74,L,H,0.4065564875675596,0.08233151706249997,H,M
3,Age_of_Empires_II_Main_Theme.mid,3,0,0,0,1,D,D,0,15,0,0,1,0,0,13,i,56,Vsus4,5.1875,57.83132530120483,97.625,7,464349.9375,-0.275,0.74,L,H,-0.28500000000000003,0.74,L,H,0.2793620620798946,0.22504389206249997,M,H
4,Age_of_Empires_II_Main_Theme.mid,4,0,0,0,1,G,D,0,10,0,6,0,0,0,39,iio,13,i,5.3125,55.964705882352945,94.25,2,466112.3125,-0.195,0.74,L,H,-0.275,0.74,L,H,0.17257332273419113,0.02259336368750009,M,L
5,Age_of_Empires_II_Main_Theme.mid,5,0,0,0,1,D,D,0,15,0,0,1,0,0,13,i,39,iio,5.1875,57.83132530120483,97.625,7,462717.6875,-0.19,0.74,L,H,-0.195,0.74,L,H,0.27996387265489464,0.2267952963125,M,H
6,Age_of_Empires_II_Main_Theme.mid,6,0,0,0,1,E,D,0,0,0,0,0,0,16,75,ii7,13,i,5.0,58.0,94.0,6,461680.0,-0.185,0.74,L,H,-0.19,0.74,L,H,0.41838858399999995,0.07898736000000006,H,M
7,Age_of_Empires_II_Main_Theme.mid,7,0,0,1,1,C,D,15,0,0,0,0,0,1,11,#VI,75,ii7,5.1875,57.68674698795181,94.875,4,461680.0,-0.09000000000000001,0.74,L,H,-0.185,0.74,L,H,0.4071583686385543,0.0018552349999999551,H,L
8,Age_of_Empires_II_Main_Theme.mid,8,0,0,0,1,D,D,0,16,0,0,0,0,0,13,i,11,#VI,5.0,56.8,94.0,4,466112.3125,-0.06000000000000001,0.74,L,H,-0.09000000000000001,0.74,L,H,0.27931759038125004,0.09517148868750003,M,M
9,Age_of_Empires_II_Main_Theme.mid,9,0,0,0,1,G,D,2,7,0,0,5,0,0,49,Isus4,13,i,3.3125,53.15094339622642,77.75,6,462717.6875,0.01999999999999999,0.74,M,H,-0.06000000000000001,0.74,L,H,0.3436307197508256,0.11346479631250012,H,M
10,Age_of_Empires_II_Main_Theme.mid,10,0,0,0,1,G,D,5,1,7,0,1,0,0,6,IV,49,Isus4,3.1875,49.8235294117647,77.875,4,461680.0,0.095,0.74,M,H,0.01999999999999999,0.74,M,H,0.31070337076470583,0.03550323500000008,M,L
11,Age_of_Empires_II_Main_Theme.mid,11,0,0,0,1,G,D,0,1,0,0,2,9,1,71,#VI7,6,IV,3.375,54.11111111111111,76.8125,9,464349.9375,0.125,0.74,M,H,0.095,0.74,M,H,0.34522496276597214,0.22954264206249997,H,H
